id_comentario,classificacao,comentario,categoria_anotador_1,categoria_anotador_2
1,promotor,Tornar os combos e promoções mais frequentes e acessíveis; no atendimento obter mais divulgação das promoções e novidades,,
2,detrator,"muita fila na loja do Portal, tem um monte de funcionário, mas só deixa um no caixa. O preço da carne aumentou muito, não está mais tendo diferença da fresca para a congelada, estou quase desistindo de comprar de vocês.",,
3,neutro,"mais carnes diferentes, avestruz, rã, javali, tipo assim",,
4,promotor,Poderia aceitar vale alimentação como forma de pagamento no site e no aplicativo.,,
5,promotor,O produto é bom. As funcionárias atendem com muita simpatia e conhecimento,,
6,promotor,O preço melhora só qd se compra 2ou mais produtos da mesma espécie.,,
7,promotor,Fui atendida pela Janaína um atendimento maravilhoso me tirou todas as dúvidas,,
8,promotor,Para mim está ótimo,,
9,promotor,Melhorar preços e promoções,,
10,promotor,"Fui muito bem atendido pelo Hudney. Profissionais atenciosos, educados e gentis. Produtos de boa qualidade",,
11,promotor,Poderia ter outros refrigerantes de 2 litros alem de so coca cola,,
12,promotor,Ter promoção de entrega grátis.,,
13,promotor,Tá top de linha,,
14,promotor,Colocar mais variedade de produtos para vegetarianos.,,
15,promotor,está tudo ótimo,,
16,promotor,Sempre o melhor atendimento e sortimento na loja .pra mim não a necessidade de melhoria em nada,,
17,promotor,"Mais ofertas ; qto maior a quantidade, menor o preço.",,
18,promotor,Fazendo promoções !,,
19,promotor,"Podem melhorar com algum programa de fidelidade, como faço compra todo mês na loja swift seria legal ter um desconto para continuar leal a marca",,
20,promotor,mais variedades de marmita ????,,
21,promotor,Continuuem assim! Swift é 10,,
22,detrator,"Péssimo atendimento ! No passado , o atendimento era ótimo . Fazia tempo que eu não frequentava essa loja e NÃO VOLTAREI ! Funcionárias despreparadas , inclusive as moças do caixa ??‍♀️",,
23,promotor,Está ótimo. Espero que se mantenham assim.,,
24,promotor,Mais descontos nos produtos.,,
25,promotor,Eu amo essa loja rapidez e Organizada Segurança educado,,
26,promotor,Convencer aos Frigoríficos a venderem mais para o próprio país e baixarem os preços. Além de ajudarem a derrubar este Governo CorruPTo que está sabotando o país para o Narcotrafico da Ordem dos Assassinos do Islã e Comunistas. Assim podemos comprar mais carne!,,
27,promotor,Perfeito como sempre!,,
28,promotor,Espaço se tornou pequeno.,,
29,promotor,Não indo embora de Jundiaí,,
30,promotor,Funcionários com mais disponibilidade,,
31,detrator,"Qualidade nos produtos. O nível de produtos químicos nocivos nos produtos da Swift são exagerados e prejudiciais. A loja de Bauru tem um péssimo atendimento e má vontade no abastecimento, deixando as prateleiras e balcões vazios.",,
32,detrator,"Faltando alguns produtos que costumo comprar, mas o que mais me incomodou foi o atendimento do caixa. Sou deficiente auditiva unilateral e as vezes preciso perguntar mais de uma vez o que a pessoa falou para compreender e o caixa foi muito antipático comigo. Talvez não estivesse em um bom dia, mas o cliente não tem culpa. Fui ao Mercado Sadia ao lado e fui super bem tratada.",,
33,promotor,"Ótimo atendimento, parabéns a todos ?????? PS Tomas",,
34,promotor,"Excelência em atendimento, gostei muito!!!",,
35,promotor,Oferecer mais legumes prontos,,
36,promotor,"Procurei peito de peru, e não encontrei. Não sei se vocês não trabalham com essa mercadoria, ou se estava em falta. Se puderem me informem isso por favor.",,
37,promotor,"Mais promoção,parabéns pela educação dos seus dicionários,essa loja é excelente.",,
38,promotor,Tive um ótimo atendimento,,
39,promotor,Manter... principalmente as promoções,,
40,promotor,"Reposição de produtos muito tumultuado, som ambiente parece uma discoteca, a preferência parece que dos repositores e isso aí.",,
41,promotor,"Mantendo a qualidade dos produtos Swift. Eu comprei uma picanha (Combo) que me fez passar vergonha. Não havia a da marca Swift. E isso me induziu a testar outra abaixo da qualidade. Preço é bom, mas qualidade é melhor.",,
42,promotor,Equilibrar mais os preços.,,
43,neutro,Pois é!! Em poucos ofertas e ainda está muito caros!!,,
44,neutro,Comprei um pack de espetinho de churrasco. Tinha mais bacon do que carne. Me senti enganado.,,
45,promotor,"Faltou coxa e sobrecoxa dessossada Seara, é muito prática e fácil vde fazer.. Comprei a sobrecoxa da Swift e me surpreendeu, parabéns.",,
46,promotor,Mando. Um brinde com alegria,,
47,neutro,Melhores produtos,,
48,neutro,"Um parâmetro é a comparação, portanto acho que vocês deveriam entregar a carne ao consumidor mais limpa , em açougue normais ela.é entregue limpa ! O preço de vocês não cabe ter que abrir a embalagem, e limpar ...fora a perda que é grande !",,
49,promotor,Cupom de desconto,,
50,promotor,Mais promoções,,
51,promotor,"Em dias de grandes movimentos ou datas específicas como dia dos Pais é necessário um maior número de caixas, ou um caixa expresso.",,
52,promotor,Cupom de desconto para clientes recorrentes!,,
53,detrator,"Qualidade do contrafilé muito ruim, cheio de nervos. Muito ruim. Me senti enganado. Nunca mais....",,
54,promotor,Ter mais produtos,,
55,promotor,Continuando a dar os descontos que vocês estão dando. Estão no caminho certo,,
56,promotor,melhorando frete,,
57,promotor,Os molhos para almôndegas não encontro mais na loja. Uma pena. O bolonhesa é o melhor.,,
58,promotor,"atendido pela funcionária thamyres, atendimento muito bom. rápido e prático!!!",,
59,promotor,"Atendimento impecável, nada para ser melhorado!",,
60,promotor,Excelente,,
61,promotor,Repondo mercadoria,,
62,promotor,"Olá Meu pedido chegou certinho , porém fora do prazo previsto. Outra observação não consegui finalizar o pedido no aplicativo,sempre que tentava fazer o pagamento dava erro . Fiz o pedido pelo WhatsApp. Recomendo pois é uma praticidade receber esses produtos em casa .(Pode melhorar)",,
63,neutro,"Das coisas que procurei, só ficou faltando encontrar frutas congeladas, que tem um preço excelente e ajudam muito no dia-a-dia!",,
64,detrator,Produtos com água,,
65,neutro,Basta manter o padrão e fazer mais promoções. Nos frutos do mar poderia ter mais opções,,
66,promotor,Preços razoáveis,,
67,neutro,"Fomos surpreendidos com a falta de um item, só é informado depois do faturamento. Se tivesse sido informado antes, poderíamos optar por acrescentar algo para substituir.",,
68,promotor,Td bom 10,,
69,promotor,Muito bom ontem mesmo recomendei a Swift para amigos. Quanto mais conseguirem concorrer com os supermercados melhor!!!,,
70,promotor,"BOM DIA, MUITO RESPEITO PELA CLIENTELA, GOSTO DE COMPRAR NA SWIFT. OBRIGADO.",,
71,promotor,"Atendimento ótimo ,, Luan super atencioso me atendeu super bem e mesmo estamos de longe",,
72,promotor,Com mais descontos,,
73,promotor,Mais promoções seria ideal.,,
74,neutro,"achei preços altos, melhorar nos preços, mais promoção na loja.",,
75,promotor,Acredito que dê para ajustar o preço.,,
76,promotor,Entrega rápida,,
77,neutro,"Infelizmente o estacionamento sempre está cheio de pessoas que não estão na loja. Sugiro colocarem catraca e cobrar. Loja Kennedy , Guilhermina na Praia Grande SP. Devido à falta de educação do povo , ontem não consegui parar. Sendo que tem muitas vagas.",,
78,promotor,Flavia,,
79,promotor,Não necessidade de melhorar.loja muito boa,,
80,promotor,Muito bom o Atendimento estão de parabéns Super recomendo,,
81,detrator,"Fiz 2 compras recentemente, a primeira a carne estava envelhecida, cheiro e gosto ruim. A segunda, tive diarreia e intoxicação alimentar, fui parar no hospital.",,
82,promotor,Gostaria que o Brandade de bacalhau voltasse. Tirando isso muito bom,,
83,promotor,"Muito satisfeita. Ótima experiência. Tudo certo, pedido completo, temperatura adequada, cumprimento do horário, entregador educado.Obrigada ❣️",,
84,promotor,Está ótimo,,
85,promotor,Fazendo promoções,,
86,promotor,Preços muitos altos,,
87,promotor,Até o momento está. Ótimo. Os funcionários são prestativos. Sempre atendem bem.encontro o que procuro. . O pessoal da loja estão de Parabéns.,,
88,neutro,Melhorar internet da loja de Araraquara. O valor pago por cartão foi duplicado e fiquei pelo menos 40 minutos esperando com os produtos descongelando. Agora só pago em dinheiro.,,
89,promotor,Falta de produto: não encontrei fígado de galinha,,
90,promotor,Só continuem sendo excelentes.,,
91,neutro,"Comprei uma carne, peito bovino temperado e após assar de acordo com as informações ficou dura, impossível de mastigar. Esse produto após quase 2 horas assando ficou impossível de comer. 1ª vez que comprei foi um péssima experiência.",,
92,promotor,Parabéns para todos pelo bom atendimento !,,
93,promotor,Diversificando fornecedores.,,
94,neutro,"Atendimento era pessimo, caixa gritou tira aí as coisas coloca aqui etc….",,
95,detrator,Fiz um pedido no sábado . não me entregaram falando quê aqui é área de risco.sendo quê das outras vezes fizeram minha entrega. Desta vez nem entrega e nem devolveram meu valor quê paguei,,
96,promotor,Boa tarde Só não gostei que a maioria das carnes estavam com preços melhores se fossem comprados o dobro.????????????,,
97,promotor,Mantendo o nível do atendimento e qualidade dos produtos apresentados atualmente.,,
98,detrator,Mal atendimento e descaso,,
99,neutro,A carene estava dura e os espetinhos de frango solto no pacote,,
100,promotor,A única coisa é que com esse calor gostaria que mandassem na sacola térmica pois os produtos estavam começando descongelar,,
101,detrator,"Atendimento no caixa para pagar extremamente lento, caixas ficando de papo furado com os cliente e o pior entre eles mesmos.",,
102,neutro,"Escolhi o produto conforme o valor que estava acima. Ao pagar o valor estava com divergência. Ao verificar no freezer, o produto estava posicionado erroneamente. A gerente não aplicou o valor informado, mesmo eu dizendo que pela lei do consumidor, eu deveria pagar o valor conforme etiqueta e produto posicionado. Em tom de voz alto, soou impaciente e rude o tratamento ao dizer que, efetuaria a troca do produto. Eu aceitei. Sobrou um valor e a ""gerente "" (conforme declarou em voz alta), disse que não devolveria em espécie. Após, informou outra opção, seria o estorno e eu aceitei. Porém, foi perceptível a forma indelicada que retirou produtos e recolocou na sacola. Péssimo atendimento da ""gerente"", em contrapartida excelente atendimento da moça simpática, atenciosa e educada do caixa e dos senhores (segurança e o sr. que auxiliava na limpeza e estoque).",,
103,promotor,dar descontos!,,
104,promotor,"Qualidade ótima, mas preços salgados",,
105,promotor,Poderia criar um cartão fidelidade oferecendo um brinde após um número estipulado de compras.,,
106,promotor,Voltar às ofertas fidelidade não ofertas só na segunda unidade,,
107,detrator,"Carne bovina não vem limpa e livre de sebo, conforme determina legislação brasileira.",,
108,promotor,Cashback ou cupons por fidelidade,,
109,promotor,ter maior disponibilidade de produtos na unidade,,
110,promotor,"Carne moida bovina que comprei pela primeira vez, sabor pronto nao foi bom.",,
111,promotor,mantendo a qualidade dos produtos e da equipe de atendimento!,,
112,detrator,"Sempre compro a linha de carne LEGADO, mas dessa vez foi horrível. Tanto o medalhão de picanha quanto o contrafilé estavam completamente duros. Infelizmente perdi a confiança.",,
113,promotor,"Quanto ao atendimento na loja da Lins de Vasconcelos, tem a Morena que é excelente no atendimento, já a branquinha e magra precisa melhorar o jeito dela atender. perguntei onde fica as tortas e ela só apontou com o dedo.",,
114,promotor,"Estavam com problema no freezer, mas era algo pontual, a unidade sempre foi excelente e acredito que já corrigiram o problema",,
115,promotor,esta bem,,
116,promotor,Sem comentários,,
117,promotor,Preços mais justos,,
118,promotor,Está ótimo assim,,
119,promotor,Tá ótimo,,
120,neutro,"Sempre é uma boa experiencia. Porém os produtos estão caros, sei que criaram os produtos da COMBO para tornar acessivel, mas são produtos que particularmente não compro já tentei e não gostei da qualdiade.",,
121,neutro,Preços mais acessiveis,,
122,promotor,Ter a venda: Coelho Cabrito Vitela,,
123,promotor,Não encontrei carpaccio,,
124,promotor,"Desde que conheci essa loja, virei cliente de vcs , amo os preços, encontro tudo em só lugar, melhorar sempre e bom, se somos bom, poderia ser , bom duas vezes, aí viramos... Bombom!...",,
125,neutro,"O pedido demorou bastante para chegar, com vários produtos ja descongelando. Como vocês trabalham com congelados, seria importante otimizar rotas de entrega para nao acontecer o mesmo. Fiquei com medo de perder os produtos",,
126,neutro,Mais promoções,,
127,promotor,"Está, tudo ótimo, atendimento, mercadorias tudo ok",,
128,promotor,Ofertas,,
129,promotor,A Swift não decepciona. Praticidade na palma da mão.,,
130,neutro,"A SWIFT, assim como demais empresas da indústria, deveria rever o o uso excessivo de plásticos em suas embalagens e incentivar o uso de ecobags ou fazer uso de sacolas de papel na medida do possível.",,
131,promotor,Uma pena que foram descontinuados alguns produtos que eu achava muito bons como suflê de queijo e a bomba de chocolate.,,
132,promotor,Está tudo ótimo.,,
133,promotor,Atendimento muito bom,,
134,promotor,Muito bom,,
135,neutro,"Fui. Hoje loja da Av independência para comprar ossobuco. Tinha apenas 1 pacote e com uma peça com carne e dois pedaços somente com ossos, sem nenhuma carne. Qualidade frustrante",,
136,promotor,Propor variedade de produtos (sem glúten). Fui muito bem atendido pela Kariny e Camila.,,
137,detrator,Já está ótimo,,
138,promotor,"Promoções, fidelidade, cashback",,
139,promotor,pra mim e minha família esta tudo ótimo,,
140,promotor,"Poderiam melhorar os preços. Mas no geral, nota 9.",,
141,promotor,"Se possível,contratem mais funcionários. Para que no dia que ocorrer , aquela faxina geral ou possíveis checagem de mercadorias,a loja não fique com apenas um funcionário. E por favor,tragam seleta mista (vagem, brócolis, cenoura ,couve flor)de um kilos. Grata pelo excelente atendimento. Boa noite noite E sucesso para todos vocês.",,
142,promotor,"Nessa loja onde faço compra os atendentes são maravilhosos!!! Na tibúrcio de Souza Itaim Paulista, eu só compro agora na swif",,
143,promotor,Manter a qualidade dos produtos e na medida do possível melhorar ainda mais os preços.,,
144,promotor,Oferecer opções não congeladas,,
145,promotor,alguns itens ainda estão com preços não tao atrativos .,,
146,neutro,Ultimamente os produtos estão sempre em falta nos freezers,,
147,detrator,Não recebi meu camarão,,
148,promotor,Funcionários com atendimento de excelência .. Parabéns,,
149,promotor,Muito bom,,
150,promotor,"Tem umas carnes que comprei para churrasco, de outras vezes, picanha, cara e dura, não valeu a pena. Podem melhorar começando por aí.",,
151,promotor,Tudo excelente. Atendimento excelente da Cristiane e equipe.,,
152,promotor,Só se melhora atendendo as necessidades em comum dos clientes.So se descobre necessidades com pesquisas.,,
153,promotor,Tudo ótimo! Os funcionários muito atenciosos,,
154,detrator,"Comprei picanha fatiada ela tava dura,parecia coxão duro em pleno dia das mães. Foi muito chato",,
155,detrator,"Comprei carne moída bovina e veio suína pela segunda vez! Desta última vez foi ontem dia 23/03/2026, inclusive não tinha disponível na geladeira e assim que saiu do caminhão, trouxeram a caixa, abriram na minha frente e como achei que estava certo levei! No começo notei que estava meio “branca” demais, porém como tem 20% de gordura, pensei que poderia ser isso… Já ocorreu 2 vezes isso na mesma loja…",,
156,promotor,A barra onde fica a informação de pagamento ya muito grande,,
157,promotor,Cuidando sempre da qualidade e variedade dos produtos.,,
158,promotor,"Essa semana dia 03/09 fiz uma compra de picanha nobre ouro, na loja física eu escolho mais ou menos 1,100 até 1,250Kg mas fazendo o pedido online me mandaram 1(uma) picanha de 1,730Kg, não gostei. Vou voltar a fazer compra na loja física, ou vocês poderiam dar essa opção de kg.",,
159,detrator,Resolvendo meu pedido que fiz em 13/03 e até o momento não recebi a mercadoria e sem o estou do meu pix,,
160,promotor,Qualidade da escolha das carnes entregues foram otimas.,,
161,promotor,Site muito pesado...lento...poderia ser melhor...menos pesado...mais rápido.,,
162,promotor,Em variedade de preço e produtos,,
163,promotor,Atendimento De Atibaia é excelente,,
164,promotor,"Eu gosto do formato atual, apesar de estar satisfeita, sei as transformações ocorrem a todo momento. Então fico no aguarde.",,
165,promotor,Faltou fraldinha na última visita a loja,,
166,promotor,Quero parabenizar a loja Swift da Washington Luis pelo excelente atendimento dos funcionários e da gerente Karina...sempre atenciosa e gostei da forma como ela fala com os funcionários...sempre com profissionalismo e humanismo.Em especial ao atendimento da Bruna e Daniel.,,
167,promotor,Muitas opções para o dia a dia fui muito bem atendido pela Vanessa.,,
168,promotor,A moça da tarde do caixa não é simpatica igual as da manhã senti uma diferença no atendimento da tarde para pior vou avaliar com 10 pelo atendimento das meninas da manhã,,
169,promotor,Atendimento impecável produtos sempre bem embalados parabéns,,
170,promotor,Está ok,,
171,promotor,Pra mim esta tudo ótimo,,
172,promotor,"Sempre sou bem atendido, funcionários bem atencioso e sempre disposto a noa ajudar nas dúvidas e sugestões obrigado pela excelência dos seus serviços",,
173,neutro,"Olá! Cliente Swift há anos , desde o início extensão da marca. Em princípio a qualidade era infusvutivel e os valores correspondiam a qualidade . Hj os valores ultrapassam muito a qualidade apresentada, principalmente nas carnes bovinas, q muitas vez, medalhões vem Bifes e esses tiras.",,
174,promotor,10 produtos de 1ª atendimento 10 organização excelente,,
175,promotor,Os produtos são de muito qualidade mas bem mais caros. Poderiam chegar a um preço mais justo.,,
176,promotor,Eu acho que deveria ter mais ofertas com preços mais expressivos.,,
177,promotor,Senti falta dos legumes congelados. Não sei se havia na loja e não os vi ou se realmente não tinha. A loja foi a da 306 Norte - Brasília/DF,,
178,neutro,Deficência de atendimento no caixa. Um caixa apenas funcionando .,,
179,promotor,"Talvez possam melhorar na questão da entrega , neste meu último pedido o entregador desviou a mercadoria me deixando sem os produtos no final de semana , a Swift foi hiper correta e reenviou na segunda feira , mas de qualquer maneira foi um transtorno.",,
180,promotor,Sem sugestão,,
181,detrator,"Bom dia! Sempre compro a picanha e sempre está oi, porém essa que comprei estava muito dura, Sem condições de assar.",,
182,promotor,Oieee Voltar a vender ad batatas Canoa,,
183,promotor,"Fui muito bem atendido pelo Marcelo, extremamente simpático e educado.",,
184,promotor,Tudo bem!,,
185,promotor,Simplificando o Site/APP.,,
186,promotor,O atendimento da lucilene foi otimo,,
187,promotor,Tudo muito bom,,
188,promotor,Lembrem-se sempre. Sempre existe e sempre existe algo em que pode melhorar.,,
189,promotor,Atendentes mal humorados,,
190,promotor,Melhores preços! Atendimento perfeito!,,
191,promotor,Preços mais acessíveis,,
192,promotor,"Alguns produtos de baixa qualidade , e pedi para repor, a moça se negou , enfim",,
193,neutro,"Som ambiente péssimo, irritante e volume alto. Canções do mesmo estilo por horas que só falam de traição. Nota zero para quem selecionou essas música desagradáveis! Por que não tocar jazz, bossa nova e orquestra. Algo mais refinado?",,
194,promotor,"Entregas a domicilio, para compras feitas fisicamente dentro do bairro Flamengo",,
195,promotor,Não deixando faltar um café para nós clientes.,,
196,promotor,"Opa, sempre compro na Swift e sou muito bem recebida por todos…otimo atendimento sem exceção",,
197,detrator,Não recebi um dos produtos e não consigo resposta do atendimento. Já enviei pro SAC e não tive solução.,,
198,promotor,Tudo muito organizado excelente atendimento nota 10 em tudo.,,
199,promotor,Tudo perfeito,,
200,promotor,"Loja maravilhosa , nada a reclamar",,
